Year,Month,Day,Hour,Temp         (Deg C),R Humidity      (%),B Pressure       (milli bar),W Direction       (Deg),Wind Spd      (m/s),PM10
2016,3,15,1,22.5,80.1,976.1559,273,0.83,532.5
2016,3,15,2,21.2,85.1,975.6227,266,0.56,448
2016,3,15,3,21.3,87,975.3561,229,0.28,304.25
2016,3,15,4,20.5,88.2,975.0895,273,0.28,299
2016,3,15,5,20.8,90.1,975.0895,177,0.64,232.75
2016,3,15,6,20.4,91.2,975.0895,312,1.11,334.75
2016,3,15,7,20.4,89.5,975.8893,231,0.17,576.5
2016,3,15,8,20.7,90,976.5558,277,0.42,493.75
2016,3,15,9,21.4,82.6,977.8888,190,0.28,339
2016,3,15,10,24.4,70,978.6886,244,0.47,290.25
2016,3,15,11,25.4,69.2,979.2218,330,0.11,293.75
2016,3,15,12,27.3,63.4,978.9552,304,0.64,227.25
2016,3,15,13,28.7,56.1,978.1554,176,1.56,221
2016,3,15,14,29.6,46.2,977.089,157,1.75,212.75
2016,3,15,15,31.4,37,975.6227,176,1.33,162.25
2016,3,15,16,31.7,38.2,974.2897,174,1.72,142
2016,3,15,17,30.4,35.6,973.4899,163,2.75,156
2016,3,15,18,30.8,33.4,973.7565,166,2.28,168.5
2016,3,15,19,29.6,32.4,974.0231,151,2.42,153.75
2016,3,15,20,28.2,34,974.2897,145,2.89,142.25
2016,3,15,21,27.3,37.3,975.0895,146,2.92,176.75
2016,3,15,22,26.5,43,976.2892,149,1.92,206.25
2016,3,15,23,25.7,48.3,976.2892,99,0.11,273.5
2016,3,15,24,24.3,51.3,976.2892,291,0.28,266.5
2016,3,16,1,23.5,55.1,976.1559,314,1.08,123
2016,3,16,2,22.4,60.4,976.1559,267,0.5,92
2016,3,16,3,21.3,66.5,975.8893,270,0.28,91
2016,3,16,4,23.6,60.1,975.6227,103,2.56,95.25
2016,3,16,5,20.2,71.5,975.3561,287,0.92,94
2016,3,16,6,20.2,73.4,975.3561,295,0.97,118.25
2016,3,16,7,19.7,74.3,975.3561,306,0.83,151
2016,3,16,8,19.5,73.5,976.2892,306,0.81,139.75
